transcript_id	intModel	gene_id	gene_symbol	bicor	abs_bicor	direction	correlation_method
HERVH_4q26b	HERVH-int	ENSG00000166557.12	TMED3	0.899866450396561	0.899866450396561	positive	bicor
HERVL_5q12.1a	HERVL-int	ENSG00000112818.9	MEP1A	0.899866008337214	0.899866008337214	positive	bicor
HERVH_8q12.3	HERVH-int	ENSG00000106536.19	POU6F2	0.899865276210743	0.899865276210743	positive	bicor
HERVH_2p24.3a	HERVH-int	ENSG00000164199.16	ADGRV1	0.899864882018764	0.899864882018764	positive	bicor
ERV316A3_7q31.1e	ERV3-16A3_I-int	ENSG00000171435.13	KSR2	0.899864453414937	0.899864453414937	positive	bicor
ERV316A3_21q21.2f	ERV3-16A3_I-int	ENSG00000165970.11	SLC6A5	0.899864200807314	0.899864200807314	positive	bicor
HML5_6q14.3	HERVK22-int	ENSG00000179869.14	ABCA13	0.899863910558362	0.899863910558362	positive	bicor
HERVH_18q22.3b	HERVH-int	ENSG00000094755.16	GABRP	0.899863854696606	0.899863854696606	positive	bicor
PRIMA41_20p13	PRIMA41-int	ENSG00000156687.10	UNC5D	0.899863542953534	0.899863542953534	positive	bicor
HERVL_4p14a	HERVL-int	ENSG00000106278.11	PTPRZ1	0.89986336151601	0.89986336151601	positive	bicor
HERVK11D_6q22.31	HERVK11D-int	ENSG00000144407.9	PTH2R	0.899863347743	0.899863347743	positive	bicor
HERVS71_18q21.1	HERVS71-int	ENSG00000101448.13	EPPIN	0.89986321306983	0.89986321306983	positive	bicor
HERVH_15q26.2b	HERVH-int	ENSG00000009765.14	IYD	0.899862664318632	0.899862664318632	positive	bicor
ERV316A3_9q31.1c	ERV3-16A3_I-int	ENSG00000197057.9	DTHD1	0.899862643797891	0.899862643797891	positive	bicor
PABLB_4p15.2	PABL_B-int	ENSG00000036828.15	CASR	0.899862471301334	0.899862471301334	positive	bicor
MER4B_6q23.3b	MER4B-int	ENSG00000179915.22	NRXN1	0.899861724006187	0.899861724006187	positive	bicor
ERVL_4q13.3a	ERVL-int	ENSG00000173597.8	SULT1B1	0.899861315820494	0.899861315820494	positive	bicor
ERV316A3_18q22.1k	ERV3-16A3_I-int	ENSG00000215262.7	KCNU1	0.899861067610419	0.899861067610419	positive	bicor
HERVH_19q13.42c	HERVH-int	ENSG00000156687.10	UNC5D	0.899860530026827	0.899860530026827	positive	bicor
HERVL_Xq25n	HERVL-int	ENSG00000150361.11	KLHL1	0.899860151624238	0.899860151624238	positive	bicor
HERVH_3q26.1g	HERVH-int	ENSG00000152822.13	GRM1	0.899859871130597	0.899859871130597	positive	bicor
ERV316A3_21q21.2b	ERV3-16A3_I-int	ENSG00000175535.6	PNLIP	0.899858662484104	0.899858662484104	positive	bicor
HERVH_1q32.3b	HERVH-int	ENSG00000152822.13	GRM1	0.899858379923011	0.899858379923011	positive	bicor
HERVH_22q12.3b	HERVH-int	ENSG00000256870.2	SLC5A8	0.899858209754514	0.899858209754514	positive	bicor
HERVH_8q24.22a	HERVH-int	ENSG00000141431.10	ASXL3	0.899858107970015	0.899858107970015	positive	bicor
HERVH_3p22.3a	HERVH-int	ENSG00000257743.8	MGAM2	0.899857009851761	0.899857009851761	positive	bicor
ERV316A3_3q26.32	ERV3-16A3_I-int	ENSG00000136696.10	IL36B	0.899856828828557	0.899856828828557	positive	bicor
HERVH_2p22.2b	HERVH-int	ENSG00000136011.14	STAB2	0.899856555113781	0.899856555113781	positive	bicor
HUERSP3_4q13.1	HUERS-P3-int	ENSG00000168959.14	GRM5	0.899855851788307	0.899855851788307	positive	bicor
PRIMA4_5p14.1	PRIMA4-int	ENSG00000164796.17	CSMD3	0.899855730322299	0.899855730322299	positive	bicor
ERVLE_1q31.1a	ERVL-E-int	ENSG00000170044.8	ZPLD1	0.899854722291872	0.899854722291872	positive	bicor
ERVLB4_2q24.2	ERVL-B4-int	ENSG00000144278.14	GALNT13	0.899854605328473	0.899854605328473	positive	bicor
ERVLE_7q31.32d	ERVL-E-int	ENSG00000186075.12	ZPBP2	0.899854474240589	0.899854474240589	positive	bicor
HERVH_8q24.23b	HERVH-int	ENSG00000009765.14	IYD	0.899853955234487	0.899853955234487	positive	bicor
ERVLB4_18q22.3	ERVL-B4-int	ENSG00000134389.9	CFHR5	0.899853846896849	0.899853846896849	positive	bicor
ERV316A3_8q23.3h	ERV3-16A3_I-int	ENSG00000157680.15	DGKI	0.899852680400545	0.899852680400545	positive	bicor
ERVL_13q21.1b	ERVL-int	ENSG00000121446.18	RGSL1	0.899852561058123	0.899852561058123	positive	bicor
ERV316A3_6q12b	ERV3-16A3_I-int	ENSG00000150275.17	PCDH15	0.899852557343747	0.899852557343747	positive	bicor
HERVH_17p13.1	HERVH-int	ENSG00000106536.19	POU6F2	0.899852230635954	0.899852230635954	positive	bicor
ERV316A3_3q26.32	ERV3-16A3_I-int	ENSG00000124564.17	SLC17A3	0.899852199068794	0.899852199068794	positive	bicor
HERVL_2p12a	HERVL-int	ENSG00000177511.5	ST8SIA3	0.899851785610297	0.899851785610297	positive	bicor
ERVLE_13q21.1g	ERVL-E-int	ENSG00000121207.11	LRAT	0.899851295819522	0.899851295819522	positive	bicor
HERVH_1q41e	HERVH-int	ENSG00000143297.18	FCRL5	0.899850937211254	0.899850937211254	positive	bicor
ERV316A3_2q33.1e	ERV3-16A3_I-int	ENSG00000073734.8	ABCB11	0.899850828666115	0.899850828666115	positive	bicor
ERVLB4_3p12.2c	ERVL-B4-int	ENSG00000255221.3	CARD17	0.899850792186058	0.899850792186058	positive	bicor
HERVH_4p16.3c	HERVH-int	ENSG00000155511.17	GRIA1	0.899850765739847	0.899850765739847	positive	bicor
ERV316A3_4q28.3j	ERV3-16A3_I-int	ENSG00000187533.13	PRR27	0.899850364189782	0.899850364189782	positive	bicor
HERVK11_19p11c	HERVK11-int	ENSG00000152822.13	GRM1	0.89984992257211	0.89984992257211	positive	bicor
HERVL_5p13.3a	HERVL-int	ENSG00000196335.12	STK31	0.899849918339913	0.899849918339913	positive	bicor
HUERSP3_2q34	HUERS-P3-int	ENSG00000150275.17	PCDH15	0.899849597879217	0.899849597879217	positive	bicor
HERVL40_9p21.1	HERVL40-int	ENSG00000148735.14	PLEKHS1	0.899849380324022	0.899849380324022	positive	bicor
ERVLE_6q14.1k	ERVL-E-int	ENSG00000007306.14	CEACAM7	0.899849139215499	0.899849139215499	positive	bicor
ERVLB4_18q12.2b	ERVL-B4-int	ENSG00000134760.5	DSG1	0.899848936739573	0.899848936739573	positive	bicor
HERVL_Xq27.3c	HERVL-int	ENSG00000050438.16	SLC4A8	0.899848210380303	0.899848210380303	positive	bicor
ERVL_17q22	ERVL-int	ENSG00000036828.15	CASR	0.899848165204004	0.899848165204004	positive	bicor
HERV4_6q16.3a	HERV4_I-int	ENSG00000115423.18	DNAH6	0.899848152156683	0.899848152156683	positive	bicor
