"gene","module","gene_clean","symbol","is_GenAge"
"ENSG00000164236.12","grey","ENSG00000164236","ANKRD33B",FALSE
"ENSG00000106772.19","steelblue","ENSG00000106772","PRUNE2",FALSE
"ENSG00000067057.18","black","ENSG00000067057","PFKP",FALSE
"ENSG00000180229.12","grey","ENSG00000180229","HERC2P3",FALSE
"ENSG00000168333.14","grey","ENSG00000168333","PPDPFL",FALSE
"ENSG00000166407.14","yellow","ENSG00000166407","LMO1",FALSE
"ENSG00000138435.16","red","ENSG00000138435","CHRNA1",FALSE
"ENSG00000029993.15","brown","ENSG00000029993","HMGB3",FALSE
"ENSG00000138379.5","yellow","ENSG00000138379","MSTN",FALSE
"ENSG00000268555.2","red","ENSG00000268555","ENSG00000268555",FALSE
"ENSG00000124743.6","blue","ENSG00000124743","KLHL31",FALSE
"ENSG00000077009.14","yellow","ENSG00000077009","NMRK2",FALSE
"ENSG00000184601.11","blue","ENSG00000184601","C14orf180",FALSE
"ENSG00000100344.11","greenyellow","ENSG00000100344","PNPLA3",FALSE
"ENSG00000144837.9","brown","ENSG00000144837","PLA1A",FALSE
"ENSG00000131386.20","brown","ENSG00000131386","GALNT15",FALSE
"ENSG00000163833.8","blue","ENSG00000163833","FBXO40",FALSE
"ENSG00000227496.3","yellow","ENSG00000227496","ENSG00000227496",FALSE
"ENSG00000147256.12","greenyellow","ENSG00000147256","ARHGAP36",FALSE
"ENSG00000216921.9","yellow","ENSG00000216921","FAM240C",FALSE
"ENSG00000249853.9","blue","ENSG00000249853","HS3ST5",FALSE
"ENSG00000151365.2","yellow","ENSG00000151365","THRSP",FALSE
"ENSG00000187550.9","grey","ENSG00000187550","SBK2",FALSE
"ENSG00000139364.11","brown","ENSG00000139364","TMEM132B",FALSE
"ENSG00000166123.14","blue","ENSG00000166123","GPT2",FALSE
"ENSG00000177508.12","grey","ENSG00000177508","IRX3",FALSE
"ENSG00000174502.19","blue","ENSG00000174502","SLC26A9",FALSE
"ENSG00000137872.17","blue","ENSG00000137872","SEMA6D",FALSE
"ENSG00000286658.1","grey","ENSG00000286658","ENSG00000286658",FALSE
"ENSG00000168878.19","skyblue","ENSG00000168878","SFTPB",FALSE
"ENSG00000091704.10","white","ENSG00000091704","CPA1",FALSE
"ENSG00000285569.3","brown","ENSG00000285569","ENSG00000285569",FALSE
"ENSG00000251139.2","brown","ENSG00000251139","ENSG00000251139",FALSE
"ENSG00000171612.7","brown","ENSG00000171612","SLC25A33",FALSE
"ENSG00000154096.14","blue","ENSG00000154096","THY1",FALSE
