"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module"
"ENSG00000101203.17","darkgreen",0.796342376912565,2.32696081728526e-180,0.182737750775867,1.41869486795315e-07,0.796342376912565,0.182737750775867,16
"ENSG00000175832.13","darkgreen",0.790198382907103,1.07049260089422e-175,0.0736027392532919,0.0353151616045085,0.790198382907103,0.0736027392532919,17
"ENSG00000182853.12","darkgreen",0.787349354635706,1.37701898850852e-173,0.0619961105372498,0.0763737202782273,0.787349354635706,0.0619961105372498,18
"ENSG00000251493.5","darkgreen",0.780516608352247,1.16922498709252e-168,0.12385431277604,0.000384379970858543,0.780516608352247,0.12385431277604,19
"ENSG00000215644.10","darkgreen",0.780051057359759,2.49613357576781e-168,0.0855014164819547,0.0144394332104635,0.780051057359759,0.0855014164819547,20
"ENSG00000163873.10","darkgreen",0.757833615129057,1.71940398165238e-153,0.080512266244199,0.0212830455287253,0.757833615129057,0.080512266244199,21
"ENSG00000165966.16","darkgreen",0.744509013290788,2.42983613768233e-145,0.0399936408552305,0.253223784200578,0.744509013290788,0.0399936408552305,22
"ENSG00000132854.19","darkgreen",0.737662576140149,2.39080989379809e-141,0.0825007349603436,0.0182751999377871,0.737662576140149,0.0825007349603436,23
"ENSG00000160307.10","darkgreen",0.737580535892981,2.66459641520397e-141,0.0890650830356492,0.0108188958988855,0.737580535892981,0.0890650830356492,24
"ENSG00000101144.13","darkgreen",0.736045050167299,2.0121325881475e-140,0.0323950291139132,0.354785682430549,0.736045050167299,0.0323950291139132,25
"ENSG00000179915.25","darkgreen",0.733930936161109,3.18077760346741e-139,0.121830963757736,0.000479169711809117,0.733930936161109,0.121830963757736,26
"ENSG00000170075.10","darkgreen",0.733545882896611,5.24387925553228e-139,0.0476781914844496,0.173097181229324,0.733545882896611,0.0476781914844496,27
"ENSG00000205312.8","darkgreen",0.730847316540417,1.70107122347277e-137,0.184285122470544,1.10743264806128e-07,0.730847316540417,0.184285122470544,28
"ENSG00000105695.15","darkgreen",0.727069968459703,2.06683958512807e-135,0.010156928008427,0.771771482039567,0.727069968459703,0.010156928008427,29
"ENSG00000103089.9","darkgreen",0.726587083196382,3.79548393244948e-135,-0.012291820088207,0.725565604651988,0.726587083196382,0.012291820088207,30
"ENSG00000166033.13","turquoise",0.887532482772471,7.61419363888073e-277,0.30438340806872,5.36746267682312e-19,0.887532482772471,0.30438340806872,1
"ENSG00000035862.12","turquoise",0.880392673749621,1.31739273919943e-266,0.2366571811421,7.0899511229657e-12,0.880392673749621,0.2366571811421,2
"ENSG00000155254.13","turquoise",0.879774763081536,9.43690748978631e-266,0.260156877156268,4.0356497641311e-14,0.879774763081536,0.260156877156268,3
"ENSG00000110811.20","turquoise",0.870112212710686,5.80895862164377e-253,0.253255453253079,1.94684910060444e-13,0.870112212710686,0.253255453253079,4
"ENSG00000127990.19","turquoise",0.860170664463314,7.81328283220746e-241,0.228323426812846,3.90343608115045e-11,0.860170664463314,0.228323426812846,5
"ENSG00000142156.16","turquoise",0.857367370992831,1.39385329849346e-237,0.244314877896316,1.39524951443756e-12,0.857367370992831,0.244314877896316,6
"ENSG00000108821.14","turquoise",0.856736831197645,7.34452450653403e-237,0.221048967014509,1.64033045516559e-10,0.856736831197645,0.221048967014509,7
"ENSG00000142173.16","turquoise",0.856360196673964,1.97437160726033e-236,0.239684683951485,3.75351735120157e-12,0.856360196673964,0.239684683951485,8
