"gene","module"
"ENSG00000143196.5","blue"
"ENSG00000171617.15","blue"
"ENSG00000259560.2","blue"
"ENSG00000113296.14","turquoise"
"ENSG00000198948.12","grey"
"ENSG00000008517.19","grey"
"ENSG00000139292.13","grey"
"ENSG00000100373.10","blue"
"ENSG00000133805.16","brown"
"ENSG00000235205.1","blue"
"ENSG00000106018.14","blue"
"ENSG00000086967.10","yellow"
"ENSG00000146374.14","yellow"
"ENSG00000143546.10","black"
"ENSG00000187134.14","red"
"ENSG00000112246.10","grey"
"ENSG00000129009.13","turquoise"
"ENSG00000159216.19","black"
"ENSG00000241935.9","grey60"
"ENSG00000149596.7","yellow"
"ENSG00000047457.14","pink"
"ENSG00000270605.1","blue"
"ENSG00000158014.15","black"
"ENSG00000108691.9","lightcyan"
"ENSG00000271303.2","brown"
"ENSG00000120051.15","blue"
"ENSG00000173334.4","grey"
"ENSG00000198892.7","yellow"
"ENSG00000285781.1","blue"
"ENSG00000187840.5","brown"
"ENSG00000250303.5","blue"
"ENSG00000106333.13","turquoise"
"ENSG00000251076.1","darkgreen"
"ENSG00000260641.1","grey"
"ENSG00000165192.14","blue"
"ENSG00000227456.9","blue"
"ENSG00000146416.19","blue"
"ENSG00000258647.6","salmon"
"ENSG00000138207.15","green"
"ENSG00000151948.12","yellow"
"ENSG00000214110.3","grey"
"ENSG00000184838.15","blue"
"ENSG00000172000.7","blue"
"ENSG00000258545.7","grey"
"ENSG00000158715.6","blue"
"ENSG00000146054.18","blue"
"ENSG00000146592.17","blue"
"ENSG00000105327.18","greenyellow"
"ENSG00000171551.12","yellow"
"ENSG00000250878.4","yellow"
"ENSG00000178053.20","yellow"
"ENSG00000211893.4","paleturquoise"
"ENSG00000275178.1","blue"
"ENSG00000116748.22","blue"
"ENSG00000215187.13","orange"
"ENSG00000163083.6","brown"
"ENSG00000248461.3","yellow"
"ENSG00000287212.1","brown"
"ENSG00000288824.1","brown"
"ENSG00000203280.4","red"
"ENSG00000146674.16","green"
"ENSG00000163220.11","black"
"ENSG00000134324.12","brown"
"ENSG00000143333.7","pink"
"ENSG00000135919.14","blue"
"ENSG00000169245.6","lightcyan"
"ENSG00000226416.2","orange"
"ENSG00000257219.6","brown"
"ENSG00000163710.9","darkgrey"
"ENSG00000084070.12","brown"
"ENSG00000197614.11","yellow"
"ENSG00000171033.13","blue"
"ENSG00000182013.18","turquoise"
"ENSG00000118985.16","brown"
"ENSG00000255690.3","blue"
"ENSG00000211896.7","paleturquoise"
"ENSG00000272031.3","brown"
"ENSG00000183160.9","turquoise"
"ENSG00000250362.1","brown"
"ENSG00000276600.5","blue"
"ENSG00000288235.1","grey"
"ENSG00000259828.1","blue"
"ENSG00000145358.6","blue"
"ENSG00000173546.7","brown"
"ENSG00000159307.20","green"
"ENSG00000177337.9","black"
"ENSG00000144061.14","blue"
"ENSG00000131067.17","grey"
"ENSG00000165246.15","grey"
"ENSG00000101608.13","blue"
"ENSG00000280285.1","lightcyan"
"ENSG00000146122.17","brown"
"ENSG00000233327.11","grey"
"ENSG00000171004.19","grey"
"ENSG00000183508.5","grey"
"ENSG00000225549.3","blue"
"ENSG00000266718.2","blue"
"ENSG00000166592.12","black"
"ENSG00000164654.16","brown"
"ENSG00000280007.1","blue"
"ENSG00000204634.13","brown"
"ENSG00000288865.1","brown"
"ENSG00000164266.11","white"
"ENSG00000215018.10","darkred"
"ENSG00000116983.13","brown"
"ENSG00000108821.14","turquoise"
"ENSG00000106819.13","turquoise"
"ENSG00000250159.7","blue"
"ENSG00000138061.12","pink"
"ENSG00000161267.12","yellow"
"ENSG00000136999.5","blue"
"ENSG00000173369.17","cyan"
"ENSG00000154188.10","blue"
"ENSG00000259881.1","blue"
"ENSG00000174032.17","yellow"
"ENSG00000148680.16","turquoise"
"ENSG00000267206.6","brown"
"ENSG00000171903.17","grey"
"ENSG00000126016.17","blue"
"ENSG00000218018.4","blue"
"ENSG00000123358.20","turquoise"
"ENSG00000278464.2","turquoise"
"ENSG00000011638.11","blue"
"ENSG00000151726.15","brown"
"ENSG00000165966.16","darkgreen"
"ENSG00000196436.9","grey"
"ENSG00000239839.7","midnightblue"
"ENSG00000170890.14","white"
"ENSG00000184343.11","blue"
"ENSG00000164638.11","tan"
"ENSG00000118523.6","turquoise"
"ENSG00000175093.5","blue"
"ENSG00000103710.11","blue"
"ENSG00000105649.10","blue"
"ENSG00000287692.1","yellow"
"ENSG00000159640.17","blue"
"ENSG00000162494.6","blue"
"ENSG00000133134.12","turquoise"
"ENSG00000115963.14","pink"
"ENSG00000260075.1","grey"
"ENSG00000120875.9","green"
"ENSG00000224568.3","yellow"
"ENSG00000175356.14","yellow"
"ENSG00000236279.7","yellow"
"ENSG00000159387.8","grey"
"ENSG00000163491.17","blue"
"ENSG00000280660.1","blue"
"ENSG00000104313.20","blue"
"ENSG00000198523.6","blue"
"ENSG00000289615.1","turquoise"
"ENSG00000279593.1","red"
"ENSG00000167711.14","brown"
"ENSG00000136244.12","pink"
"ENSG00000270681.1","black"
"ENSG00000138755.6","darkturquoise"
"ENSG00000159674.12","turquoise"
"ENSG00000115226.10","black"
"ENSG00000172731.15","blue"
"ENSG00000162894.12","brown"
"ENSG00000139209.16","grey"
"ENSG00000220773.1","blue"
"ENSG00000226807.7","turquoise"
"ENSG00000140519.14","skyblue"
"ENSG00000198756.12","blue"
"ENSG00000135902.10","red"
"ENSG00000255039.1","blue"
"ENSG00000188783.6","green"
"ENSG00000168542.16","blue"
"ENSG00000198502.6","turquoise"
"ENSG00000233117.4","turquoise"
"ENSG00000213088.12","pink"
"ENSG00000130513.7","turquoise"
"ENSG00000188613.7","tan"
"ENSG00000162461.8","orange"
"ENSG00000140526.18","grey60"
"ENSG00000137571.11","blue"
"ENSG00000143171.13","yellow"
"ENSG00000287580.1","yellow"
"ENSG00000165030.4","brown"
"ENSG00000116574.6","grey60"
"ENSG00000149654.11","grey60"
"ENSG00000213058.3","grey"
"ENSG00000175445.17","orange"
"ENSG00000113739.11","grey"
"ENSG00000168575.10","yellow"
"ENSG00000134042.14","blue"
"ENSG00000287397.1","grey"
"ENSG00000144596.13","blue"
"ENSG00000272573.6","blue"
"ENSG00000101194.18","brown"
"ENSG00000187479.8","pink"
